9(#5);"1;3;#5;b7;9"
13;"1;3;5;b7;9;11;13"
6(#11);"1;3;5;6;#11"
7(#9);"1;3;5;b7;#9"
+(#11);"1;3;#5;#11"
9;"1;3;5;b7;9"
9b5;"1;3;b5;b7;9"
maj13;"1;3;5;7;9;11;13"
7;"1;3;5;b7"
dim7;"1;b3;b5;bb7"
aug;"1;3;#5"
m(maj9);"1;b3;5;7;9"
maj;"1;3;5"
13(#11);"1;3;5;b7;9;#11;13"
11;"1;3;5;b7;9;11"
maj9;"1;3;5;7;9"
sus2;"1;2;5"
7(b13);"1;3;5;b7;b13"
maj7(#5);"1;3;#5;7"
m11;"1;b3;5;b7;9;11"
add9;"1;3;5;9"
m7b5;"1;b3;b5;b7"
m13;"1;b3;5;b7;9;11;13"
m;"1;b3;5"
7b5;"1;3;b5;b7"
9(#11);"1;3;5;b7;9;#11"
m7;"1;b3;5;b7"
m(maj7);"1;b3;5;7"
dim;"1;b3;b5"
6;"1;3;5;6"
7(#5);"1;3;#5;b7"
7sus4;"1;4;5;b7"
maj7;"1;3;5;7"
5;"1;5"
7(#11);"1;3;5;b7;#11"
13(#9);"1;3;5;b7;#9;11;13"
m6;"1;b3;5;6"
13(#5);"1;3;#5;b7;9;11;13"
m6/9;"1;b3;5;6;9"
7(b9);"1;3;5;b7;b9"
m9;"1;b3;5;b7;9"
13(b9);"1;3;5;b7;b9;11;13"
sus4;"1;4;5"
6/9;"1;3;5;6;9"
